Date,Open,High,Low,Close,Volume,Adj Close
2016-09-30,215.649994,217.119995,215.360001,216.300003,105334000,216.300003
2016-09-29,216.399994,216.869995,214.039993,214.679993,128070600,214.679993
2016-09-28,215.830002,216.820007,214.710007,216.639999,87411000,216.639999
2016-09-27,214.050003,215.679993,213.619995,215.570007,78494800,215.570007
2016-09-26,215.020004,215.229996,214.009995,214.240005,89827300,214.240005
2016-09-23,216.720001,216.880005,215.880005,215.990005,73630900,215.990005
2016-09-22,217.00,217.529999,216.710007,217.179993,76678700,217.179993
2016-09-21,214.240005,216.029999,213.440002,215.820007,110284400,215.820007
2016-09-20,214.410004,214.589996,213.380005,213.419998,69665300,213.419998
2016-09-19,214.130005,214.880005,213.029999,213.410004,80250500,213.410004
2016-09-16,213.479996,213.690002,212.570007,213.369995,155236400,213.369995
2016-09-15,212.960007,215.729996,212.75,215.279999,134427900,214.197992
2016-09-14,213.289993,214.699997,212.50,213.149994,134185500,212.078693
2016-09-13,214.839996,215.149994,212.50,213.229996,182828800,212.158293
2016-09-12,212.389999,216.809998,212.309998,216.339996,168110900,215.252662
2016-09-09,216.970001,217.029999,213.25,213.279999,221589100,212.208044
2016-09-08,218.619995,218.940002,218.149994,218.509995,74102900,217.411754
2016-09-07,218.839996,219.220001,218.300003,219.009995,76554900,217.909241
2016-09-06,218.699997,219.119995,217.860001,219.029999,56702100,217.929145
2016-09-02,218.389999,218.869995,217.699997,218.369995,79293900,217.272458
2016-09-01,217.369995,217.729996,216.029999,217.389999,97844200,216.297388
2016-08-31,217.610001,217.75,216.470001,217.380005,85269500,216.287444
2016-08-30,218.259995,218.589996,217.350006,218.00,58114500,216.904323
2016-08-29,217.440002,218.669998,217.399994,218.360001,70502200,217.262514
2016-08-26,217.919998,219.119995,216.25,217.289993,122506300,216.197885
2016-08-25,217.399994,218.190002,217.220001,217.699997,69224800,216.605828
2016-08-24,218.800003,218.910004,217.360001,217.850006,71728900,216.755083
2016-08-23,219.25,219.600006,218.899994,218.970001,53399200,217.869449
2016-08-22,218.259995,218.800003,217.830002,218.529999,61368800,217.431658
2016-08-19,218.309998,218.75,217.740005,218.539993,75443000,217.441602
2016-08-18,218.339996,218.899994,218.210007,218.860001,52989300,217.760001
2016-08-17,218.00,218.529999,217.020004,218.369995,75134300,217.272458
2016-08-16,218.600006,218.679993,217.960007,217.960007,53213600,216.86453
2016-08-15,218.889999,219.50,218.880005,219.089996,49813500,217.988841
2016-08-12,218.289993,218.710007,217.990005,218.460007,61313500,217.362017
2016-08-11,218.259995,218.940002,217.949997,218.649994,72504300,217.55105
2016-08-10,218.309998,218.399994,217.229996,217.639999,57941100,216.546132
2016-08-09,218.130005,218.759995,217.800003,218.179993,51251700,217.083411
2016-08-08,218.399994,218.520004,217.740005,218.050003,39906500,216.954074
2016-08-05,216.410004,218.229996,216.410004,218.179993,71892200,217.083411
2016-08-04,216.309998,216.779999,214.25,216.410004,46585500,215.322318
2016-08-03,215.479996,216.25,215.130005,216.179993,53993600,215.093463
