Date,Open,High,Low,Close,Volume,Adj Close
2016-09-30,38.82,39.099998,37.919998,37.950001,3996000,37.950001
2016-09-29,39.169998,39.32,38.52,38.540001,2922600,38.540001
2016-09-28,38.919998,39.369999,38.810001,39.34,2109100,39.34
2016-09-27,39.599998,39.610001,38.66,38.759998,3713500,38.759998
2016-09-26,39.119999,39.700001,39.040001,39.599998,3432300,39.599998
2016-09-23,38.810001,39.529999,38.459999,39.279999,3202100,39.279999
2016-09-22,38.400002,38.98,38.330002,38.91,2910600,38.91
2016-09-21,37.630001,38.209999,37.119999,38.150002,2588900,38.150002
2016-09-20,37.73,37.950001,37.540001,37.639999,2531600,37.639999
2016-09-19,37.310001,37.509998,37.209999,37.439999,2643700,37.439999
2016-09-16,36.880001,37.220001,36.650002,37.16,4296800,37.16
2016-09-15,36.889999,37.209999,36.650002,37.029999,2363000,37.029999
2016-09-14,37.119999,37.32,36.689999,36.939999,3000000,36.939999
2016-09-13,37.900002,38.009998,36.810001,36.950001,3853900,36.950001
2016-09-12,37.900002,38.450001,37.669998,38.099998,5210800,38.099998
2016-09-09,39.189999,39.189999,37.82,38.130001,6581000,38.130001
2016-09-08,40.080002,40.080002,39.380001,39.599998,7247500,39.599998
2016-09-07,40.02,40.43,39.98,40.330002,3140100,40.330002
2016-09-06,39.18,40.150002,39.009998,40.130001,3650000,40.130001
2016-09-02,38.91,39.580002,38.73,39.080002,1959000,39.080002
2016-09-01,39.349998,39.389999,38.59,38.799999,2668200,38.799999
2016-08-31,39.43,39.59,39.099998,39.330002,3068000,39.330002
2016-08-30,39.23,39.439999,38.869999,39.419998,2187300,39.419998
2016-08-29,38.740002,39.380001,38.740002,39.130001,1869800,39.130001
2016-08-26,39.669998,39.790001,38.43,38.740002,2944700,38.740002
2016-08-25,39.459999,39.900002,39.369999,39.580002,1728700,39.580002
2016-08-24,39.790001,39.919998,39.23,39.459999,1567800,39.459999
2016-08-23,39.630001,39.990002,39.470001,39.779999,2403000,39.779999
2016-08-22,39.48,39.709999,39.240002,39.419998,3575600,39.419998
2016-08-19,39.720001,39.959999,39.259998,39.470001,4020700,39.470001
2016-08-18,39.490002,39.959999,39.490002,39.84,3992800,39.84
2016-08-17,39.310001,39.740002,39.029999,39.610001,5659900,39.610001
2016-08-16,39.299999,39.349998,39.049999,39.23,4875500,39.23
2016-08-15,39.130001,39.509998,39.060001,39.490002,3807200,39.490002
2016-08-12,38.619999,39.48,38.560001,39.130001,2668400,39.130001
2016-08-11,39.490002,39.599998,38.34,38.560001,4229000,38.560001
2016-08-10,39.080002,39.869999,39.080002,39.50,4581400,39.50
2016-08-09,38.490002,39.119999,38.00,38.950001,4504700,38.950001
2016-08-08,38.439999,38.68,38.27,38.439999,2026000,38.439999
2016-08-05,38.50,38.689999,38.299999,38.41,1855500,38.41
2016-08-04,38.43,38.580002,38.18,38.50,2339100,38.50
2016-08-03,39.00,39.130001,38.400002,39.09,2663000,38.515
2016-08-02,39.34,39.470001,38.82,38.959999,2464200,38.386911
2016-08-01,39.23,39.48,39.02,39.450001,2290800,38.869705
2016-07-29,39.049999,39.599998,39.040001,39.23,4811100,38.65294
2016-07-28,38.689999,39.18,38.369999,39.02,3320500,38.44603
2016-07-27,38.790001,38.860001,38.32,38.669998,2777300,38.101176
2016-07-26,38.880001,38.98,38.619999,38.82,3180800,38.248971
2016-07-25,38.900002,39.080002,38.599998,39.080002,2804000,38.505149
2016-07-22,38.459999,39.00,38.380001,38.900002,2622300,38.327796
2016-07-21,38.23,38.709999,38.09,38.549999,3169100,37.982942
2016-07-20,38.080002,38.34,37.849998,38.34,3472600,37.776032
2016-07-19,37.50,38.169998,37.330002,38.130001,2919100,37.569122
2016-07-18,37.470001,37.599998,37.169998,37.369999,2799500,36.820299
2016-07-15,36.970001,37.50,36.779999,37.43,3757200,36.879418
2016-07-14,37.279999,37.34,36.66,36.950001,2530200,36.406479
2016-07-13,37.139999,37.43,36.630001,37.43,3416800,36.879418
2016-07-12,36.59,37.299999,36.439999,37.029999,5675500,36.4853
2016-07-11,36.00,36.66,35.790001,36.540001,4078600,36.00251
2016-07-08,35.380001,35.939999,34.990002,35.939999,4030100,35.411334
2016-07-07,35.419998,35.50,34.560001,34.880001,3554000,34.366928
2016-07-06,35.619999,35.77,35.119999,35.529999,2768500,35.007365
